feature,modality,family,description
activity__average_met__median,activity,physiology,activity_average_met; across days median
activity__average_met__iqr,activity,physiology,activity_average_met; across days iqr
activity__average_met__p10,activity,physiology,activity_average_met; across days p10
activity__average_met__p90,activity,physiology,activity_average_met; across days p90
activity__average_met__missing_fraction,activity,quality,activity_average_met; daily missing fraction
activity__cal_active__median,activity,physiology,activity_cal_active; across days median
activity__cal_active__iqr,activity,physiology,activity_cal_active; across days iqr
activity__cal_active__p10,activity,physiology,activity_cal_active; across days p10
activity__cal_active__p90,activity,physiology,activity_cal_active; across days p90
activity__cal_active__missing_fraction,activity,quality,activity_cal_active; daily missing fraction
activity__cal_total__median,activity,physiology,activity_cal_total; across days median
activity__cal_total__iqr,activity,physiology,activity_cal_total; across days iqr
activity__cal_total__p10,activity,physiology,activity_cal_total; across days p10
activity__cal_total__p90,activity,physiology,activity_cal_total; across days p90
activity__cal_total__missing_fraction,activity,quality,activity_cal_total; daily missing fraction
activity__daily_movement__median,activity,physiology,activity_daily_movement; across days median
activity__daily_movement__iqr,activity,physiology,activity_daily_movement; across days iqr
activity__daily_movement__p10,activity,physiology,activity_daily_movement; across days p10
activity__daily_movement__p90,activity,physiology,activity_daily_movement; across days p90
activity__daily_movement__missing_fraction,activity,quality,activity_daily_movement; daily missing fraction
activity__high__median,activity,physiology,activity_high; across days median
activity__high__iqr,activity,physiology,activity_high; across days iqr
activity__high__p10,activity,physiology,activity_high; across days p10
activity__high__p90,activity,physiology,activity_high; across days p90
activity__high__missing_fraction,activity,quality,activity_high; daily missing fraction
activity__inactive__median,activity,physiology,activity_inactive; across days median
activity__inactive__iqr,activity,physiology,activity_inactive; across days iqr
activity__inactive__p10,activity,physiology,activity_inactive; across days p10
activity__inactive__p90,activity,physiology,activity_inactive; across days p90
activity__inactive__missing_fraction,activity,quality,activity_inactive; daily missing fraction
activity__inactivity_alerts__median,activity,physiology,activity_inactivity_alerts; across days median
activity__inactivity_alerts__iqr,activity,physiology,activity_inactivity_alerts; across days iqr
activity__inactivity_alerts__p10,activity,physiology,activity_inactivity_alerts; across days p10
activity__inactivity_alerts__p90,activity,physiology,activity_inactivity_alerts; across days p90
activity__inactivity_alerts__missing_fraction,activity,quality,activity_inactivity_alerts; daily missing fraction
activity__low__median,activity,physiology,activity_low; across days median
activity__low__iqr,activity,physiology,activity_low; across days iqr
activity__low__p10,activity,physiology,activity_low; across days p10
activity__low__p90,activity,physiology,activity_low; across days p90
activity__low__missing_fraction,activity,quality,activity_low; daily missing fraction
activity__medium__median,activity,physiology,activity_medium; across days median
activity__medium__iqr,activity,physiology,activity_medium; across days iqr
activity__medium__p10,activity,physiology,activity_medium; across days p10
activity__medium__p90,activity,physiology,activity_medium; across days p90
activity__medium__missing_fraction,activity,quality,activity_medium; daily missing fraction
activity__met_min_high__median,activity,physiology,activity_met_min_high; across days median
activity__met_min_high__iqr,activity,physiology,activity_met_min_high; across days iqr
activity__met_min_high__p10,activity,physiology,activity_met_min_high; across days p10
activity__met_min_high__p90,activity,physiology,activity_met_min_high; across days p90
activity__met_min_high__missing_fraction,activity,quality,activity_met_min_high; daily missing fraction
activity__met_min_inactive__median,activity,physiology,activity_met_min_inactive; across days median
activity__met_min_inactive__iqr,activity,physiology,activity_met_min_inactive; across days iqr
activity__met_min_inactive__p10,activity,physiology,activity_met_min_inactive; across days p10
activity__met_min_inactive__p90,activity,physiology,activity_met_min_inactive; across days p90
activity__met_min_inactive__missing_fraction,activity,quality,activity_met_min_inactive; daily missing fraction
activity__met_min_low__median,activity,physiology,activity_met_min_low; across days median
activity__met_min_low__iqr,activity,physiology,activity_met_min_low; across days iqr
activity__met_min_low__p10,activity,physiology,activity_met_min_low; across days p10
activity__met_min_low__p90,activity,physiology,activity_met_min_low; across days p90
activity__met_min_low__missing_fraction,activity,quality,activity_met_min_low; daily missing fraction
activity__met_min_medium__median,activity,physiology,activity_met_min_medium; across days median
activity__met_min_medium__iqr,activity,physiology,activity_met_min_medium; across days iqr
activity__met_min_medium__p10,activity,physiology,activity_met_min_medium; across days p10
activity__met_min_medium__p90,activity,physiology,activity_met_min_medium; across days p90
activity__met_min_medium__missing_fraction,activity,quality,activity_met_min_medium; daily missing fraction
activity__non_wear__median,activity,quality,activity_non_wear; across days median
activity__non_wear__iqr,activity,quality,activity_non_wear; across days iqr
activity__non_wear__p10,activity,quality,activity_non_wear; across days p10
activity__non_wear__p90,activity,quality,activity_non_wear; across days p90
activity__non_wear__missing_fraction,activity,quality,activity_non_wear; daily missing fraction
activity__rest__median,activity,physiology,activity_rest; across days median
activity__rest__iqr,activity,physiology,activity_rest; across days iqr
activity__rest__p10,activity,physiology,activity_rest; across days p10
activity__rest__p90,activity,physiology,activity_rest; across days p90
activity__rest__missing_fraction,activity,quality,activity_rest; daily missing fraction
activity__score__median,activity,vendor,activity_score; across days median
activity__score__iqr,activity,vendor,activity_score; across days iqr
activity__score__p10,activity,vendor,activity_score; across days p10
activity__score__p90,activity,vendor,activity_score; across days p90
activity__score__missing_fraction,activity,quality,activity_score; daily missing fraction
activity__score_meet_daily_targets__median,activity,vendor,activity_score_meet_daily_targets; across days median
activity__score_meet_daily_targets__iqr,activity,vendor,activity_score_meet_daily_targets; across days iqr
activity__score_meet_daily_targets__p10,activity,vendor,activity_score_meet_daily_targets; across days p10
activity__score_meet_daily_targets__p90,activity,vendor,activity_score_meet_daily_targets; across days p90
activity__score_meet_daily_targets__missing_fraction,activity,quality,activity_score_meet_daily_targets; daily missing fraction
activity__score_move_every_hour__median,activity,vendor,activity_score_move_every_hour; across days median
activity__score_move_every_hour__iqr,activity,vendor,activity_score_move_every_hour; across days iqr
