feature,modality,family,description,kind
activity__average_met__median,activity,physiology,activity_average_met; across days median,v2
activity__average_met__iqr,activity,physiology,activity_average_met; across days iqr,v2
activity__average_met__p10,activity,physiology,activity_average_met; across days p10,v2
activity__average_met__p90,activity,physiology,activity_average_met; across days p90,v2
activity__average_met__missing_fraction,activity,quality,activity_average_met; daily missing fraction,v2
activity__cal_active__median,activity,physiology,activity_cal_active; across days median,v2
activity__cal_active__iqr,activity,physiology,activity_cal_active; across days iqr,v2
activity__cal_active__p10,activity,physiology,activity_cal_active; across days p10,v2
activity__cal_active__p90,activity,physiology,activity_cal_active; across days p90,v2
activity__cal_active__missing_fraction,activity,quality,activity_cal_active; daily missing fraction,v2
activity__cal_total__median,activity,physiology,activity_cal_total; across days median,v2
activity__cal_total__iqr,activity,physiology,activity_cal_total; across days iqr,v2
activity__cal_total__p10,activity,physiology,activity_cal_total; across days p10,v2
activity__cal_total__p90,activity,physiology,activity_cal_total; across days p90,v2
activity__cal_total__missing_fraction,activity,quality,activity_cal_total; daily missing fraction,v2
activity__daily_movement__median,activity,physiology,activity_daily_movement; across days median,v2
activity__daily_movement__iqr,activity,physiology,activity_daily_movement; across days iqr,v2
activity__daily_movement__p10,activity,physiology,activity_daily_movement; across days p10,v2
activity__daily_movement__p90,activity,physiology,activity_daily_movement; across days p90,v2
activity__daily_movement__missing_fraction,activity,quality,activity_daily_movement; daily missing fraction,v2
activity__high__median,activity,physiology,activity_high; across days median,v2
activity__high__iqr,activity,physiology,activity_high; across days iqr,v2
activity__high__p10,activity,physiology,activity_high; across days p10,v2
activity__high__p90,activity,physiology,activity_high; across days p90,v2
activity__high__missing_fraction,activity,quality,activity_high; daily missing fraction,v2
activity__inactive__median,activity,physiology,activity_inactive; across days median,v2
activity__inactive__iqr,activity,physiology,activity_inactive; across days iqr,v2
activity__inactive__p10,activity,physiology,activity_inactive; across days p10,v2
activity__inactive__p90,activity,physiology,activity_inactive; across days p90,v2
activity__inactive__missing_fraction,activity,quality,activity_inactive; daily missing fraction,v2
activity__inactivity_alerts__median,activity,physiology,activity_inactivity_alerts; across days median,v2
activity__inactivity_alerts__iqr,activity,physiology,activity_inactivity_alerts; across days iqr,v2
activity__inactivity_alerts__p10,activity,physiology,activity_inactivity_alerts; across days p10,v2
activity__inactivity_alerts__p90,activity,physiology,activity_inactivity_alerts; across days p90,v2
activity__inactivity_alerts__missing_fraction,activity,quality,activity_inactivity_alerts; daily missing fraction,v2
activity__low__median,activity,physiology,activity_low; across days median,v2
activity__low__iqr,activity,physiology,activity_low; across days iqr,v2
activity__low__p10,activity,physiology,activity_low; across days p10,v2
activity__low__p90,activity,physiology,activity_low; across days p90,v2
activity__low__missing_fraction,activity,quality,activity_low; daily missing fraction,v2
activity__medium__median,activity,physiology,activity_medium; across days median,v2
activity__medium__iqr,activity,physiology,activity_medium; across days iqr,v2
activity__medium__p10,activity,physiology,activity_medium; across days p10,v2
activity__medium__p90,activity,physiology,activity_medium; across days p90,v2
activity__medium__missing_fraction,activity,quality,activity_medium; daily missing fraction,v2
activity__met_min_high__median,activity,physiology,activity_met_min_high; across days median,v2
activity__met_min_high__iqr,activity,physiology,activity_met_min_high; across days iqr,v2
activity__met_min_high__p10,activity,physiology,activity_met_min_high; across days p10,v2
activity__met_min_high__p90,activity,physiology,activity_met_min_high; across days p90,v2
activity__met_min_high__missing_fraction,activity,quality,activity_met_min_high; daily missing fraction,v2
activity__met_min_inactive__median,activity,physiology,activity_met_min_inactive; across days median,v2
activity__met_min_inactive__iqr,activity,physiology,activity_met_min_inactive; across days iqr,v2
activity__met_min_inactive__p10,activity,physiology,activity_met_min_inactive; across days p10,v2
activity__met_min_inactive__p90,activity,physiology,activity_met_min_inactive; across days p90,v2
activity__met_min_inactive__missing_fraction,activity,quality,activity_met_min_inactive; daily missing fraction,v2
activity__met_min_low__median,activity,physiology,activity_met_min_low; across days median,v2
activity__met_min_low__iqr,activity,physiology,activity_met_min_low; across days iqr,v2
activity__met_min_low__p10,activity,physiology,activity_met_min_low; across days p10,v2
activity__met_min_low__p90,activity,physiology,activity_met_min_low; across days p90,v2
activity__met_min_low__missing_fraction,activity,quality,activity_met_min_low; daily missing fraction,v2
activity__met_min_medium__median,activity,physiology,activity_met_min_medium; across days median,v2
activity__met_min_medium__iqr,activity,physiology,activity_met_min_medium; across days iqr,v2
activity__met_min_medium__p10,activity,physiology,activity_met_min_medium; across days p10,v2
activity__met_min_medium__p90,activity,physiology,activity_met_min_medium; across days p90,v2
activity__met_min_medium__missing_fraction,activity,quality,activity_met_min_medium; daily missing fraction,v2
activity__non_wear__median,activity,quality,activity_non_wear; across days median,v2
activity__non_wear__iqr,activity,quality,activity_non_wear; across days iqr,v2
activity__non_wear__p10,activity,quality,activity_non_wear; across days p10,v2
activity__non_wear__p90,activity,quality,activity_non_wear; across days p90,v2
activity__non_wear__missing_fraction,activity,quality,activity_non_wear; daily missing fraction,v2
activity__rest__median,activity,physiology,activity_rest; across days median,v2
activity__rest__iqr,activity,physiology,activity_rest; across days iqr,v2
activity__rest__p10,activity,physiology,activity_rest; across days p10,v2
activity__rest__p90,activity,physiology,activity_rest; across days p90,v2
activity__rest__missing_fraction,activity,quality,activity_rest; daily missing fraction,v2
activity__score__median,activity,vendor,activity_score; across days median,v2
activity__score__iqr,activity,vendor,activity_score; across days iqr,v2
activity__score__p10,activity,vendor,activity_score; across days p10,v2
activity__score__p90,activity,vendor,activity_score; across days p90,v2
activity__score__missing_fraction,activity,quality,activity_score; daily missing fraction,v2
activity__score_meet_daily_targets__median,activity,vendor,activity_score_meet_daily_targets; across days median,v2
activity__score_meet_daily_targets__iqr,activity,vendor,activity_score_meet_daily_targets; across days iqr,v2
activity__score_meet_daily_targets__p10,activity,vendor,activity_score_meet_daily_targets; across days p10,v2
activity__score_meet_daily_targets__p90,activity,vendor,activity_score_meet_daily_targets; across days p90,v2
activity__score_meet_daily_targets__missing_fraction,activity,quality,activity_score_meet_daily_targets; daily missing fraction,v2
activity__score_move_every_hour__median,activity,vendor,activity_score_move_every_hour; across days median,v2
activity__score_move_every_hour__iqr,activity,vendor,activity_score_move_every_hour; across days iqr,v2
activity__score_move_every_hour__p10,activity,vendor,activity_score_move_every_hour; across days p10,v2
activity__score_move_every_hour__p90,activity,vendor,activity_score_move_every_hour; across days p90,v2
activity__score_move_every_hour__missing_fraction,activity,quality,activity_score_move_every_hour; daily missing fraction,v2
activity__score_recovery_time__median,activity,vendor,activity_score_recovery_time; across days median,v2
activity__score_recovery_time__iqr,activity,vendor,activity_score_recovery_time; across days iqr,v2
activity__score_recovery_time__p10,activity,vendor,activity_score_recovery_time; across days p10,v2
activity__score_recovery_time__p90,activity,vendor,activity_score_recovery_time; across days p90,v2
activity__score_recovery_time__missing_fraction,activity,quality,activity_score_recovery_time; daily missing fraction,v2
activity__score_stay_active__median,activity,vendor,activity_score_stay_active; across days median,v2
activity__score_stay_active__iqr,activity,vendor,activity_score_stay_active; across days iqr,v2
activity__score_stay_active__p10,activity,vendor,activity_score_stay_active; across days p10,v2
activity__score_stay_active__p90,activity,vendor,activity_score_stay_active; across days p90,v2
activity__score_stay_active__missing_fraction,activity,quality,activity_score_stay_active; daily missing fraction,v2
activity__score_training_frequency__median,activity,vendor,activity_score_training_frequency; across days median,v2
activity__score_training_frequency__iqr,activity,vendor,activity_score_training_frequency; across days iqr,v2
activity__score_training_frequency__p10,activity,vendor,activity_score_training_frequency; across days p10,v2
activity__score_training_frequency__p90,activity,vendor,activity_score_training_frequency; across days p90,v2
activity__score_training_frequency__missing_fraction,activity,quality,activity_score_training_frequency; daily missing fraction,v2
activity__score_training_volume__median,activity,vendor,activity_score_training_volume; across days median,v2
activity__score_training_volume__iqr,activity,vendor,activity_score_training_volume; across days iqr,v2
activity__score_training_volume__p10,activity,vendor,activity_score_training_volume; across days p10,v2
activity__score_training_volume__p90,activity,vendor,activity_score_training_volume; across days p90,v2
activity__score_training_volume__missing_fraction,activity,quality,activity_score_training_volume; daily missing fraction,v2
activity__steps__median,activity,physiology,activity_steps; across days median,v2
activity__steps__iqr,activity,physiology,activity_steps; across days iqr,v2
activity__steps__p10,activity,physiology,activity_steps; across days p10,v2
activity__steps__p90,activity,physiology,activity_steps; across days p90,v2
activity__steps__missing_fraction,activity,quality,activity_steps; daily missing fraction,v2
activity__total__median,activity,physiology,activity_total; across days median,v2
activity__total__iqr,activity,physiology,activity_total; across days iqr,v2
activity__total__p10,activity,physiology,activity_total; across days p10,v2
activity__total__p90,activity,physiology,activity_total; across days p90,v2
activity__total__missing_fraction,activity,quality,activity_total; daily missing fraction,v2
activity__state_code_0_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days median,v2
activity__state_code_0_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days iqr,v2
activity__state_code_0_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days p10,v2
activity__state_code_0_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days p90,v2
activity__state_code_0_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_0_fraction; daily missing fraction,v2
activity__state_code_0_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days median,v2
activity__state_code_0_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days iqr,v2
activity__state_code_0_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days p10,v2
activity__state_code_0_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days p90,v2
activity__state_code_0_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; daily missing fraction,v2
activity__state_code_1_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days median,v2
activity__state_code_1_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days iqr,v2
activity__state_code_1_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days p10,v2
activity__state_code_1_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days p90,v2
activity__state_code_1_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_1_fraction; daily missing fraction,v2
activity__state_code_1_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days median,v2
activity__state_code_1_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days iqr,v2
activity__state_code_1_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days p10,v2
activity__state_code_1_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days p90,v2
activity__state_code_1_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; daily missing fraction,v2
activity__state_code_2_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days median,v2
activity__state_code_2_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days iqr,v2
activity__state_code_2_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days p10,v2
activity__state_code_2_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days p90,v2
activity__state_code_2_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_2_fraction; daily missing fraction,v2
activity__state_code_2_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days median,v2
activity__state_code_2_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days iqr,v2
activity__state_code_2_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days p10,v2
activity__state_code_2_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days p90,v2
activity__state_code_2_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; daily missing fraction,v2
activity__state_code_3_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days median,v2
activity__state_code_3_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days iqr,v2
activity__state_code_3_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days p10,v2
activity__state_code_3_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days p90,v2
activity__state_code_3_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_3_fraction; daily missing fraction,v2
activity__state_code_3_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days median,v2
activity__state_code_3_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days iqr,v2
activity__state_code_3_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days p10,v2
activity__state_code_3_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; across days p90,v2
activity__state_code_3_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_3_longest_minutes; daily missing fraction,v2
activity__state_code_4_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days median,v2
activity__state_code_4_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days iqr,v2
activity__state_code_4_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days p10,v2
activity__state_code_4_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_fraction; across days p90,v2
activity__state_code_4_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_4_fraction; daily missing fraction,v2
activity__state_code_4_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days median,v2
activity__state_code_4_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days iqr,v2
activity__state_code_4_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days p10,v2
activity__state_code_4_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; across days p90,v2
activity__state_code_4_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_4_longest_minutes; daily missing fraction,v2
activity__state_code_5_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days median,v2
activity__state_code_5_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days iqr,v2
activity__state_code_5_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days p10,v2
activity__state_code_5_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_fraction; across days p90,v2
activity__state_code_5_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_5_fraction; daily missing fraction,v2
activity__state_code_5_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days median,v2
activity__state_code_5_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days iqr,v2
activity__state_code_5_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days p10,v2
activity__state_code_5_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; across days p90,v2
activity__state_code_5_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_5_longest_minutes; daily missing fraction,v2
activity__state_entropy__median,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days median,v2
activity__state_entropy__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days iqr,v2
activity__state_entropy__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days p10,v2
activity__state_entropy__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): entropy; across days p90,v2
activity__state_entropy__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): entropy; daily missing fraction,v2
activity__state_transition_rate__median,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days median,v2
activity__state_transition_rate__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days iqr,v2
activity__state_transition_rate__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days p10,v2
activity__state_transition_rate__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): transition_rate; across days p90,v2
activity__state_transition_rate__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): transition_rate; daily missing fraction,v2
activity__state_valid_fraction__median,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days median,v2
activity__state_valid_fraction__iqr,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days iqr,v2
activity__state_valid_fraction__p10,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days p10,v2
activity__state_valid_fraction__p90,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; across days p90,v2
activity__state_valid_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): valid_fraction; daily missing fraction,v2
activity__state_length__median,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days median,v2
activity__state_length__iqr,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days iqr,v2
activity__state_length__p10,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days p10,v2
activity__state_length__p90,activity,quality,CONVERT(activity_class_5min USING utf8): length; across days p90,v2
activity__state_length__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): length; daily missing fraction,v2
activity__met_mean__median,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days median,v2
activity__met_mean__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days iqr,v2
activity__met_mean__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days p10,v2
activity__met_mean__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): mean; across days p90,v2
activity__met_mean__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): mean; daily missing fraction,v2
activity__met_std__median,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days median,v2
activity__met_std__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days iqr,v2
activity__met_std__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days p10,v2
activity__met_std__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): std; across days p90,v2
activity__met_std__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): std; daily missing fraction,v2
activity__met_p10__median,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days median,v2
activity__met_p10__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days iqr,v2
activity__met_p10__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days p10,v2
activity__met_p10__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): p10; across days p90,v2
activity__met_p10__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): p10; daily missing fraction,v2
activity__met_p90__median,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days median,v2
activity__met_p90__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days iqr,v2
activity__met_p90__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days p10,v2
activity__met_p90__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): p90; across days p90,v2
activity__met_p90__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): p90; daily missing fraction,v2
activity__met_rmssd_adjacent__median,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days median,v2
activity__met_rmssd_adjacent__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days iqr,v2
activity__met_rmssd_adjacent__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days p10,v2
activity__met_rmssd_adjacent__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; across days p90,v2
activity__met_rmssd_adjacent__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): rmssd_adjacent; daily missing fraction,v2
activity__met_lag1__median,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days median,v2
activity__met_lag1__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days iqr,v2
activity__met_lag1__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days p10,v2
activity__met_lag1__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): lag1; across days p90,v2
activity__met_lag1__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): lag1; daily missing fraction,v2
activity__met_last_first_third__median,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days median,v2
activity__met_last_first_third__iqr,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days iqr,v2
activity__met_last_first_third__p10,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days p10,v2
activity__met_last_first_third__p90,activity,physiology,CONVERT(activity_met_1min USING utf8): last_first_third; across days p90,v2
activity__met_last_first_third__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): last_first_third; daily missing fraction,v2
activity__met_valid_fraction__median,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days median,v2
activity__met_valid_fraction__iqr,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days iqr,v2
activity__met_valid_fraction__p10,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days p10,v2
activity__met_valid_fraction__p90,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; across days p90,v2
activity__met_valid_fraction__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): valid_fraction; daily missing fraction,v2
activity__met_length__median,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days median,v2
activity__met_length__iqr,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days iqr,v2
activity__met_length__p10,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days p10,v2
activity__met_length__p90,activity,quality,CONVERT(activity_met_1min USING utf8): length; across days p90,v2
activity__met_length__missing_fraction,activity,quality,CONVERT(activity_met_1min USING utf8): length; daily missing fraction,v2
activity__met_cosinor_amplitude__median,activity,physiology,MET clock: cosinor_amplitude; across days median,v2
activity__met_cosinor_amplitude__iqr,activity,physiology,MET clock: cosinor_amplitude; across days iqr,v2
activity__met_cosinor_amplitude__p10,activity,physiology,MET clock: cosinor_amplitude; across days p10,v2
activity__met_cosinor_amplitude__p90,activity,physiology,MET clock: cosinor_amplitude; across days p90,v2
activity__met_cosinor_amplitude__missing_fraction,activity,quality,MET clock: cosinor_amplitude; daily missing fraction,v2
activity__met_cosinor_relative_amplitude__median,activity,physiology,MET clock: cosinor_relative_amplitude; across days median,v2
activity__met_cosinor_relative_amplitude__iqr,activity,physiology,MET clock: cosinor_relative_amplitude; across days iqr,v2
activity__met_cosinor_relative_amplitude__p10,activity,physiology,MET clock: cosinor_relative_amplitude; across days p10,v2
activity__met_cosinor_relative_amplitude__p90,activity,physiology,MET clock: cosinor_relative_amplitude; across days p90,v2
activity__met_cosinor_relative_amplitude__missing_fraction,activity,quality,MET clock: cosinor_relative_amplitude; daily missing fraction,v2
activity__met_cosinor_phase_cos__median,activity,physiology,MET clock: cosinor_phase_cos; across days median,v2
activity__met_cosinor_phase_cos__iqr,activity,physiology,MET clock: cosinor_phase_cos; across days iqr,v2
activity__met_cosinor_phase_cos__p10,activity,physiology,MET clock: cosinor_phase_cos; across days p10,v2
activity__met_cosinor_phase_cos__p90,activity,physiology,MET clock: cosinor_phase_cos; across days p90,v2
activity__met_cosinor_phase_cos__missing_fraction,activity,quality,MET clock: cosinor_phase_cos; daily missing fraction,v2
activity__met_cosinor_phase_sin__median,activity,physiology,MET clock: cosinor_phase_sin; across days median,v2
activity__met_cosinor_phase_sin__iqr,activity,physiology,MET clock: cosinor_phase_sin; across days iqr,v2
activity__met_cosinor_phase_sin__p10,activity,physiology,MET clock: cosinor_phase_sin; across days p10,v2
activity__met_cosinor_phase_sin__p90,activity,physiology,MET clock: cosinor_phase_sin; across days p90,v2
activity__met_cosinor_phase_sin__missing_fraction,activity,quality,MET clock: cosinor_phase_sin; daily missing fraction,v2
activity__met_day_night_difference__median,activity,physiology,MET clock: day_night_difference; across days median,v2
activity__met_day_night_difference__iqr,activity,physiology,MET clock: day_night_difference; across days iqr,v2
activity__met_day_night_difference__p10,activity,physiology,MET clock: day_night_difference; across days p10,v2
activity__met_day_night_difference__p90,activity,physiology,MET clock: day_night_difference; across days p90,v2
activity__met_day_night_difference__missing_fraction,activity,quality,MET clock: day_night_difference; daily missing fraction,v2
activity__met_relative_high10_low5__median,activity,physiology,MET clock: relative_high10_low5; across days median,v2
activity__met_relative_high10_low5__iqr,activity,physiology,MET clock: relative_high10_low5; across days iqr,v2
activity__met_relative_high10_low5__p10,activity,physiology,MET clock: relative_high10_low5; across days p10,v2
activity__met_relative_high10_low5__p90,activity,physiology,MET clock: relative_high10_low5; across days p90,v2
activity__met_relative_high10_low5__missing_fraction,activity,quality,MET clock: relative_high10_low5; daily missing fraction,v2
activity__met_low5_met__median,activity,physiology,MET clock: low5_met; across days median,v2
activity__met_low5_met__iqr,activity,physiology,MET clock: low5_met; across days iqr,v2
activity__met_low5_met__p10,activity,physiology,MET clock: low5_met; across days p10,v2
activity__met_low5_met__p90,activity,physiology,MET clock: low5_met; across days p90,v2
activity__met_low5_met__missing_fraction,activity,quality,MET clock: low5_met; daily missing fraction,v2
activity__met_high10_met__median,activity,physiology,MET clock: high10_met; across days median,v2
activity__met_high10_met__iqr,activity,physiology,MET clock: high10_met; across days iqr,v2
activity__met_high10_met__p10,activity,physiology,MET clock: high10_met; across days p10,v2
activity__met_high10_met__p90,activity,physiology,MET clock: high10_met; across days p90,v2
activity__met_high10_met__missing_fraction,activity,quality,MET clock: high10_met; daily missing fraction,v2
activity__interval_minutes__median,activity,quality,activity__interval_minutes; across days median,v2
activity__interval_minutes__iqr,activity,quality,activity__interval_minutes; across days iqr,v2
activity__interval_minutes__p10,activity,quality,activity__interval_minutes; across days p10,v2
activity__interval_minutes__p90,activity,quality,activity__interval_minutes; across days p90,v2
activity__interval_minutes__missing_fraction,activity,quality,activity__interval_minutes; daily missing fraction,v2
activity__steps_per_wear_hour__median,activity,physiology,steps_per_wear_hour; across days median,v2
activity__steps_per_wear_hour__iqr,activity,physiology,steps_per_wear_hour; across days iqr,v2
activity__steps_per_wear_hour__p10,activity,physiology,steps_per_wear_hour; across days p10,v2
activity__steps_per_wear_hour__p90,activity,physiology,steps_per_wear_hour; across days p90,v2
activity__steps_per_wear_hour__missing_fraction,activity,quality,steps_per_wear_hour; daily missing fraction,v2
activity__moderate_high_fraction__median,activity,physiology,moderate_high_fraction; across days median,v2
activity__moderate_high_fraction__iqr,activity,physiology,moderate_high_fraction; across days iqr,v2
activity__moderate_high_fraction__p10,activity,physiology,moderate_high_fraction; across days p10,v2
activity__moderate_high_fraction__p90,activity,physiology,moderate_high_fraction; across days p90,v2
activity__moderate_high_fraction__missing_fraction,activity,quality,moderate_high_fraction; daily missing fraction,v2
